Time,open,high,low,close,volume,change
2003-05-02,600.47,602.62,582.87,597.44,437577454,-0.0032
2003-05-06,603.05,609.72,602.29,604.33,570746928,0.0115
2003-05-07,610.87,618.48,606.88,618.08,513433675,0.022799999999999997
2003-05-09,612.25,619.25,608.41,619.11,588222069,0.0017000000000000001
2003-05-12,631.9,637.19,630.14,631.04,655917055,0.019299999999999998
2003-05-13,631.82,633.81,613.25,614.07,614456670,-0.0269
2003-05-14,610.63,616.82,606.06,609.97,484389895,-0.0067
2003-05-15,613.63,620.45,605.62,619.35,634665495,0.0154
2003-05-16,619.12,622.64,607.74,610.81,506441463,-0.0138
2003-05-19,603.77,603.77,592.84,596.36,350449287,-0.023700000000000002
2003-05-20,585.86,602.09,584.62,602.08,421521611,0.0096
2003-05-21,599.55,603.24,596.29,600.57,442311775,-0.0025
2003-05-22,599.06,607.98,591.73,595.38,448997886,-0.0086
2003-05-23,602.8,612.07,601.03,611.51,441168355,0.0271
2003-05-26,611.15,621.65,607.76,617.65,483847288,0.01
2003-05-27,619.86,620.0,609.05,614.3,470044155,-0.0054
2003-05-28,629.19,630.92,622.53,628.36,603929117,0.0229
2003-05-29,624.1,636.2,623.01,632.43,454445672,0.006500000000000001
2003-05-30,632.15,635.81,627.02,633.42,470149092,0.0016
2003-06-02,643.93,649.69,642.61,648.71,514965101,0.0241
2003-06-03,641.74,643.69,633.56,636.94,494561177,-0.0181
2003-06-04,642.35,642.79,632.47,640.27,442208942,0.0052
2003-06-05,647.72,648.35,641.58,642.38,521559171,0.0033
2003-06-09,640.58,651.16,638.31,650.35,351400629,0.0124
2003-06-10,645.41,652.9,644.18,649.75,361328957,-0.0009
2003-06-11,651.93,657.92,650.27,651.29,497477948,0.0024
2003-06-12,658.43,661.89,653.73,657.95,611953302,0.0102
2003-06-13,663.1,670.2,655.76,665.24,503052226,0.0111
2003-06-16,661.6,664.01,655.86,657.82,432731792,-0.011200000000000002
2003-06-17,673.76,677.58,670.33,674.66,661646799,0.0256
2003-06-18,673.84,681.38,672.52,675.75,584095802,0.0016
2003-06-19,681.03,690.59,679.06,690.49,588424130,0.0218
2003-06-20,684.04,690.7,683.76,686.22,534519917,-0.0062
2003-06-23,685.97,686.6,673.33,674.59,471989685,-0.0169
2003-06-24,664.4,665.63,659.77,664.01,451359963,-0.015700000000000002
2003-06-25,665.98,674.96,665.88,674.03,505214975,0.0151
2003-06-26,668.32,679.57,667.72,675.75,461919316,0.0026
2003-06-27,682.14,686.18,675.48,677.28,486105849,0.0023
2003-06-30,673.66,674.9,666.91,669.93,320728820,-0.0109
2003-07-01,666.45,674.75,663.35,674.75,344509980,0.0072
2003-07-02,682.57,687.04,680.68,685.8,482616282,0.016399999999999998
2003-07-03,696.54,699.34,684.94,686.83,544331279,0.0015
2003-07-04,687.03,693.95,684.64,693.25,442799690,0.009300000000000001
2003-07-07,699.32,704.31,696.76,704.29,439453857,0.0159
2003-07-08,715.54,715.8,706.12,708.34,568608546,0.0058
2003-07-09,708.55,710.28,704.34,705.5,543852092,-0.004
2003-07-10,701.43,710.26,700.49,700.51,577869221,-0.0070999999999999995
2003-07-11,694.14,704.54,691.59,704.15,560477406,0.0052
2003-07-14,709.09,720.59,705.4,720.1,559538401,0.0227
2003-07-15,723.08,724.53,712.36,713.45,719789322,-0.0092
2003-07-16,720.89,722.85,709.55,716.48,589353008,0.0042
2003-07-18,700.52,707.43,697.67,699.35,546269736,-0.0239
2003-07-21,699.12,702.84,692.12,693.5,662571593,-0.0084
2003-07-22,691.43,699.99,691.43,699.7,707482842,0.0089
2003-07-23,702.71,703.82,693.04,695.74,571574783,-0.005699999999999999
2003-07-24,693.15,705.53,690.59,702.94,732725036,0.0103
