ticker_code,company_name,last_update,status
183300,코미코,2026-02-09,EXISTING
051915,LG화학우,2026-02-09,EXISTING
192080,더블유게임즈,2026-02-09,EXISTING
012630,HDC,2026-02-09,EXISTING
484870,엠앤씨솔루션,2026-02-09,EXISTING
089860,롯데렌탈,2026-02-09,EXISTING
082640,동양생명,2026-02-09,EXISTING
001740,SK네트웍스,2026-02-09,EXISTING
056190,에스에프에이,2026-02-09,EXISTING
006730,서부T&D,2026-02-09,EXISTING
249420,일동제약,2026-02-09,EXISTING
036830,솔브레인홀딩스,,
298050,HS효성첨단소재,2026-02-09,EXISTING
348340,뉴로메카,2026-02-09,EXISTING
280360,롯데웰푸드,2026-02-09,EXISTING
032190,다우데이타,2026-02-09,EXISTING
124500,아이티센글로벌,2026-02-09,EXISTING
285130,SK케미칼,2026-02-09,EXISTING
195870,해성디에스,2026-02-09,EXISTING
100090,SK오션플랜트,2026-02-09,EXISTING
213420,덕산네오룩스,2026-02-09,EXISTING
241710,코스메카코리아,2026-02-09,EXISTING
365550,ESR켄달스퀘어리츠,2026-02-09,EXISTING
137310,에스디바이오센서,2026-02-09,EXISTING
181710,NHN,2026-02-09,EXISTING
003240,태광산업,2026-02-09,EXISTING
295310,에이치브이엠,2026-02-09,EXISTING
009240,한샘,2026-02-09,EXISTING
003160,디아이,2026-02-09,EXISTING
417200,LS머트리얼즈,2026-02-09,EXISTING
000670,영풍,2026-02-09,EXISTING
281820,케이씨텍,2026-02-09,EXISTING
075580,세진중공업,2026-02-09,EXISTING
192400,쿠쿠홀딩스,2026-02-09,EXISTING
376300,디어유,2026-02-09,EXISTING
112040,위메이드,2026-02-09,EXISTING
222080,씨아이에스,2026-02-09,EXISTING
079160,CJ CGV,2026-02-09,EXISTING
033100,제룡전기,2026-02-09,EXISTING
131290,티에스이,2026-02-09,EXISTING
048410,현대바이오,2026-02-09,EXISTING
006120,SK디스커버리,2026-02-09,EXISTING
082920,비츠로셀,2026-02-09,EXISTING
036810,에프에스티,2026-02-09,EXISTING
358570,지아이이노베이션,2026-02-09,EXISTING
030190,NICE평가정보,2026-02-09,EXISTING
171090,선익시스템,2026-02-09,EXISTING
322000,HD현대에너지솔루션,2026-02-09,EXISTING
490470,세미파이브,,
086900,메디톡스,2026-02-09,EXISTING
036530,SNT홀딩스,2026-02-09,EXISTING
078160,메디포스트,2026-02-09,EXISTING
006650,대한유화,2026-02-09,EXISTING
127120,제이에스링크,2026-02-09,EXISTING
000210,DL,2026-02-09,EXISTING
052400,코나아이,2026-02-09,EXISTING
100840,SNT에너지,2026-02-09,EXISTING
317450,명인제약,,
060250,NHN KCP,2026-02-09,EXISTING
00088K,한화3우B,,
064960,SNT모티브,2026-02-09,EXISTING
121600,나노신소재,2026-02-09,EXISTING
389470,인벤티지랩,2026-02-09,EXISTING
004490,세방전지,2026-02-09,EXISTING
002350,넥센타이어,2026-02-09,EXISTING
108320,LX세미콘,2026-02-09,EXISTING
093370,후성,2026-02-09,EXISTING
010780,아이에스동서,2026-02-09,EXISTING
005690,파미셀,2026-02-09,EXISTING
214430,아이쓰리시스템,2026-02-09,EXISTING
003470,유안타증권,2026-02-09,EXISTING
009450,경동나비엔,2026-02-09,EXISTING
071055,한국금융지주우,2026-02-09,EXISTING
033500,동성화인텍,2026-02-09,EXISTING
348210,넥스틴,2026-02-09,EXISTING
069260,TKG휴켐스,2026-02-09,EXISTING
042000,카페24,2026-02-09,EXISTING
066575,LG전자우,2026-02-09,EXISTING
014620,성광벤드,2026-02-09,EXISTING
014820,동원시스템즈,2026-02-09,EXISTING
102940,코오롱생명과학,2026-02-09,EXISTING
376900,로킷헬스케어,2026-02-09,EXISTING
033240,자화전자,2026-02-09,EXISTING
451800,한화리츠,2026-02-09,EXISTING
272290,이녹스첨단소재,2026-02-09,EXISTING
